trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
30,hage_compressed.wav,neutral,hage,baby,babble_31.wav,slave_reversed.wav,boble_reversed.wav,,,,,0,41,41,41,,,right,2.7471159000015177,left,0,hage,baby,1738,001,2025-11-27_14-18-26,
55,bygning_compressed.wav,neutral,bygning,fængsel,babble_13.wav,brænde_reversed.wav,spise_reversed.wav,,,,,0,42,42,42,,,right,0.48068099999909464,right,1,fængsel,bygning,1738,001,2025-11-27_14-18-26,
74,blodig_compressed.wav,negative,blodig,drukne,babble_77.wav,pjece_reversed.wav,offer_reversed.wav,,,,,0,43,43,43,,,left,0.8871482999984437,left,1,blodig,drukne,1738,001,2025-11-27_14-18-26,
39,luksus_compressed.wav,positive,luksus,leder,babble_87.wav,blomstre_reversed.wav,oprør_reversed.wav,,,,,0,44,44,44,,,left,0.4567910000005213,left,1,luksus,leder,1738,001,2025-11-27_14-18-26,
89,slagtning_compressed.wav,negative,slagtning,frygtsom,babble_77.wav,frygtsom_reversed.wav,nøgle_reversed.wav,,,,,0,45,45,45,,,right,2.706315100000211,left,0,slagtning,frygtsom,1738,001,2025-11-27_14-18-26,
75,knude_compressed.wav,neutral,knude,rotte,babble_86.wav,redskab_reversed.wav,misbrug_reversed.wav,,,,,0,46,46,46,,,left,0.4021819999998115,left,1,knude,rotte,1738,001,2025-11-27_14-18-26,
60,sæde_compressed.wav,neutral,sæde,hånlig,babble_31.wav,lyse_reversed.wav,statue_reversed.wav,,,,,0,47,47,47,,,right,1.069644299999709,right,1,hånlig,sæde,1738,001,2025-11-27_14-18-26,
9,affald_compressed.wav,negative,affald,gave,babble_51.wav,blomstre_reversed.wav,ferie_reversed.wav,,,,,0,48,48,48,,,right,1.6089208999983384,right,1,gave,affald,1738,001,2025-11-27_14-18-26,
17,enhed_compressed.wav,neutral,enhed,cirkus,babble_24.wav,koldbrand_reversed.wav,patent_reversed.wav,,,,,0,49,49,49,,,right,0.56335880000006,right,1,cirkus,enhed,1738,001,2025-11-27_14-18-26,
87,rigdom_compressed.wav,positive,rigdom,ensom,babble_6.wav,borddug_reversed.wav,vindue_reversed.wav,,,,,0,50,50,50,,,left,3.4083669999999984,right,0,ensom,rigdom,1738,001,2025-11-27_14-18-26,
69,kvæles_compressed.wav,negative,kvæles,misbrug,babble_52.wav,museum_reversed.wav,frygtsom_reversed.wav,,,,,0,51,51,51,,,left,1.9538002999997843,left,1,kvæles,misbrug,1738,001,2025-11-27_14-18-26,
44,boble_compressed.wav,neutral,boble,heldig,babble_70.wav,kæle_reversed.wav,opstemt_reversed.wav,,,,,0,52,52,52,,,right,1.3461853000007977,right,1,heldig,boble,1738,001,2025-11-27_14-18-26,
76,pjece_compressed.wav,neutral,pjece,bygning,babble_31.wav,lyse_reversed.wav,sandhed_reversed.wav,,,,,0,53,53,53,,,left,0.5742048000010982,left,1,pjece,bygning,1738,001,2025-11-27_14-18-26,
50,albue_compressed.wav,neutral,albue,koldbrand,babble_16.wav,fedme_reversed.wav,motor_reversed.wav,,,,,0,54,54,54,,,right,1.0880909000006795,right,1,koldbrand,albue,1738,001,2025-11-27_14-18-26,
56,leder_compressed.wav,positive,leder,vindue,babble_70.wav,syndig_reversed.wav,kontor_reversed.wav,,,,,0,55,55,55,,,right,1.0869069000000309,right,1,vindue,leder,1738,001,2025-11-27_14-18-26,
28,fiasko_compressed.wav,negative,fiasko,sandhed,babble_73.wav,grimme_reversed.wav,plakat_reversed.wav,,,,,0,56,56,56,,,left,0.3818289000009827,left,1,fiasko,sandhed,1738,001,2025-11-27_14-18-26,
86,rådden_compressed.wav,negative,rådden,vandfald,babble_27.wav,blodig_reversed.wav,fængsel_reversed.wav,,,,,0,57,57,57,,,left,1.0000024999990273,left,1,rådden,vandfald,1738,001,2025-11-27_14-18-26,
79,affald_compressed.wav,negative,affald,vindue,babble_13.wav,redskab_reversed.wav,krise_reversed.wav,,,,,0,58,58,58,,,left,0.7530545000008715,left,1,affald,vindue,1738,001,2025-11-27_14-18-26,
51,frygtsom_compressed.wav,negative,frygtsom,pjece,babble_59.wav,ørken_reversed.wav,kujon_reversed.wav,,,,,0,59,59,59,,,left,0.5930256000010559,left,1,frygtsom,pjece,1738,001,2025-11-27_14-18-26,
61,genert_compressed.wav,neutral,genert,tumor,babble_49.wav,vindue_reversed.wav,forpint_reversed.wav,,,,,0,60,60,60,,,left,0.3989978000008705,left,1,genert,tumor,1738,001,2025-11-27_14-18-26,
63,poesi_compressed.wav,neutral,poesi,borddug,babble_25.wav,sollys_reversed.wav,forkert_reversed.wav,,,,,0,61,61,61,,,left,0.5942232999987027,left,1,poesi,borddug,1738,001,2025-11-27_14-18-26,
68,taxa_compressed.wav,neutral,taxa,gratis,babble_37.wav,ferie_reversed.wav,kugle_reversed.wav,,,,,0,62,62,62,,,right,0.4692711000006966,right,1,gratis,taxa,1738,001,2025-11-27_14-18-26,
66,ledning_compressed.wav,neutral,ledning,nonne,babble_96.wav,voldtægt_reversed.wav,fjollet_reversed.wav,,,,,0,63,63,63,,,right,1.1079470000004221,left,0,ledning,nonne,1738,001,2025-11-27_14-18-26,
71,tønde_compressed.wav,neutral,tønde,ærlig,babble_99.wav,ensom_reversed.wav,mester_reversed.wav,,,,,0,64,64,64,,,right,0.5945765999986179,right,1,ærlig,tønde,1738,001,2025-11-27_14-18-26,
42,djævel_compressed.wav,negative,djævel,viden,babble_70.wav,genstand_reversed.wav,sygdom_reversed.wav,,,,,0,65,65,65,,,left,1.2671320999997988,left,1,djævel,viden,1738,001,2025-11-27_14-18-26,
83,kysse_compressed.wav,positive,kysse,genert,babble_54.wav,slave_reversed.wav,opstemt_reversed.wav,,,,,0,66,66,66,,,right,0.622031999999308,right,1,genert,kysse,1738,001,2025-11-27_14-18-26,
