trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
38,gidsel_compressed.wav,negative,gidsel,heldig,babble_85.wav,salat_reversed.wav,illoyal_reversed.wav,,,,,0,35,35,35,right,0.3728809356689453,right,1,heldig,gidsel,5567,001,2025-11-28_14-28-04,
39,grusom_compressed.wav,negative,grusom,penge,babble_17.wav,forpint_reversed.wav,gratis_reversed.wav,,,,,0,36,36,36,left,0.5225858688354492,left,1,grusom,penge,5567,001,2025-11-28_14-28-04,
28,forkert_compressed.wav,negative,forkert,fængsel,babble_44.wav,regnbue_reversed.wav,drukne_reversed.wav,,,,,0,37,37,37,right,0.8581888675689697,right,1,fængsel,forkert,5567,001,2025-11-28_14-28-04,
64,skade_compressed.wav,negative,skade,fremskridt,babble_43.wav,hjerte_reversed.wav,ensom_reversed.wav,,,,,0,38,38,38,right,3.8645129203796387,right,1,fremskridt,skade,5567,001,2025-11-28_14-28-04,
8,ydmyg_compressed.wav,neutral,ydmyg,kedel,babble_99.wav,opstemt_reversed.wav,leder_reversed.wav,,,,,0,39,39,39,right,1.6126189231872559,right,1,kedel,ydmyg,5567,001,2025-11-28_14-28-04,
60,beundret_compressed.wav,positive,beundret,sindssyg,babble_80.wav,poesi_reversed.wav,ønske_reversed.wav,,,,,0,40,40,40,left,0.5353918075561523,left,1,beundret,sindssyg,5567,001,2025-11-28_14-28-04,
22,marked_compressed.wav,neutral,marked,violin,babble_81.wav,bifald_reversed.wav,grimme_reversed.wav,,,,,0,41,41,41,left,0.9500150680541992,left,1,marked,violin,5567,001,2025-11-28_14-28-04,
72,penge_compressed.wav,positive,penge,spise,babble_14.wav,mester_reversed.wav,skade_reversed.wav,,,,,0,42,42,42,left,0.9770488739013672,left,1,penge,spise,5567,001,2025-11-28_14-28-04,
57,morder_compressed.wav,negative,morder,lærer,babble_48.wav,hånlig_reversed.wav,kujon_reversed.wav,,,,,0,43,43,43,right,0.517941951751709,right,1,lærer,morder,5567,001,2025-11-28_14-28-04,
55,metal_compressed.wav,neutral,metal,morder,babble_51.wav,viden_reversed.wav,smerte_reversed.wav,,,,,0,44,44,44,right,0.5017530918121338,right,1,morder,metal,5567,001,2025-11-28_14-28-04,
77,bryllup_compressed.wav,positive,bryllup,skyldig,babble_6.wav,baby_reversed.wav,rabies_reversed.wav,,,,,0,45,45,45,left,2.6654129028320312,left,1,bryllup,skyldig,5567,001,2025-11-28_14-28-04,
84,pude_compressed.wav,positive,pude,genert,babble_3.wav,engel_reversed.wav,violin_reversed.wav,,,,,0,46,46,46,left,0.4786648750305176,left,1,pude,genert,5567,001,2025-11-28_14-28-04,
79,kujon_compressed.wav,negative,kujon,hage,babble_22.wav,ketchup_reversed.wav,vindue_reversed.wav,,,,,0,47,47,47,left,1.54118013381958,right,0,hage,kujon,5567,001,2025-11-28_14-28-04,
50,passion_compressed.wav,positive,passion,borddug,babble_22.wav,sygdom_reversed.wav,vandal_reversed.wav,,,,,0,48,48,48,left,1.0093460083007812,left,1,passion,borddug,5567,001,2025-11-28_14-28-04,
63,ønske_compressed.wav,positive,ønske,frygtsom,babble_6.wav,oprør_reversed.wav,viden_reversed.wav,,,,,0,49,49,49,right,0.3495500087738037,right,1,frygtsom,ønske,5567,001,2025-11-28_14-28-04,
14,intim_compressed.wav,positive,intim,genstand,babble_51.wav,kedel_reversed.wav,grusom_reversed.wav,,,,,0,50,50,50,right,0.5909860134124756,right,1,genstand,intim,5567,001,2025-11-28_14-28-04,
74,kugle_compressed.wav,neutral,kugle,tumor,babble_39.wav,søsyg_reversed.wav,putte_reversed.wav,,,,,0,51,51,51,right,0.6011121273040771,right,1,tumor,kugle,5567,001,2025-11-28_14-28-04,
82,ugle_compressed.wav,neutral,ugle,udskud,babble_83.wav,venlig_reversed.wav,gade_reversed.wav,,,,,0,52,52,52,left,0.7300369739532471,left,1,ugle,udskud,5567,001,2025-11-28_14-28-04,
20,vinde_compressed.wav,positive,vinde,humor,babble_82.wav,engel_reversed.wav,konkurs_reversed.wav,,,,,0,53,53,53,right,0.9817948341369629,right,1,humor,vinde,5567,001,2025-11-28_14-28-04,
5,pervers_compressed.wav,negative,pervers,hader,babble_90.wav,succes_reversed.wav,fremskridt_reversed.wav,,,,,0,54,54,54,right,0.7387721538543701,right,1,hader,pervers,5567,001,2025-11-28_14-28-04,
62,redskab_compressed.wav,neutral,redskab,lampe,babble_34.wav,ketchup_reversed.wav,tilfreds_reversed.wav,,,,,0,55,55,55,left,0.600836992263794,left,1,redskab,lampe,5567,001,2025-11-28_14-28-04,
2,heldig_compressed.wav,positive,heldig,lækker,babble_47.wav,maling_reversed.wav,morder_reversed.wav,,,,,0,56,56,56,right,1.8418409824371338,right,1,lækker,heldig,5567,001,2025-11-28_14-28-04,
78,voldsom_compressed.wav,negative,voldsom,bryllup,babble_54.wav,djævel_reversed.wav,dæmon_reversed.wav,,,,,0,57,57,57,right,0.433103084564209,right,1,bryllup,voldsom,5567,001,2025-11-28_14-28-04,
71,hårnål_compressed.wav,neutral,hårnål,voldsom,babble_78.wav,fiasko_reversed.wav,grimme_reversed.wav,,,,,0,58,58,58,right,1.309413194656372,right,1,voldsom,hårnål,5567,001,2025-11-28_14-28-04,
13,kontor_compressed.wav,neutral,kontor,udskud,babble_13.wav,hader_reversed.wav,rotte_reversed.wav,,,,,0,59,59,59,left,0.5914011001586914,left,1,kontor,udskud,5567,001,2025-11-28_14-28-04,
54,bange_compressed.wav,negative,bange,genert,babble_49.wav,patent_reversed.wav,pervers_reversed.wav,,,,,0,60,60,60,left,0.600355863571167,left,1,bange,genert,5567,001,2025-11-28_14-28-04,
23,ugle_compressed.wav,neutral,ugle,avis,babble_96.wav,gratis_reversed.wav,albue_reversed.wav,,,,,0,61,61,61,left,0.7423038482666016,left,1,ugle,avis,5567,001,2025-11-28_14-28-04,
51,fjendtlig_compressed.wav,negative,fjendtlig,opstemt,babble_61.wav,patent_reversed.wav,baby_reversed.wav,,,,,0,62,62,62,right,1.1425158977508545,right,1,opstemt,fjendtlig,5567,001,2025-11-28_14-28-04,
