signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.2,stjerne_compressed.wav,stjerne,babble_49.wav,bombe_reversed.wav,ankel_reversed.wav,,,,,0,153,153,153,,,m,2.549002624997229,Hit,1.428352507042629,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_45.wav,vandal_reversed.wav,redning_reversed.wav,,,,,0,154,154,154,,,z,0.3578061250009341,Correct Rejection,0.9317161689241445,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_0.wav,fjendtlig_reversed.wav,rædsel_reversed.wav,,,,,0,155,155,155,,,z,0.4504789580023498,Correct Rejection,1.33621843278103,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_30.wav,tortur_reversed.wav,ønske_reversed.wav,,,,,0,156,156,156,,,z,0.5938897080050083,Correct Rejection,1.433629598068443,johan_new,001,2025-11-16_23-36-49,
present,0.7,fremskridt_compressed.wav,fremskridt,babble_42.wav,pervers_reversed.wav,himlen_reversed.wav,,,,,0,157,157,157,,,z,0.6486341670024558,Miss,0.582881869038239,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_5.wav,skade_reversed.wav,museum_reversed.wav,,,,,0,158,158,158,,,z,0.5769190420032828,Correct Rejection,1.0222568455864838,johan_new,001,2025-11-16_23-36-49,
present,0.3,banner_compressed.wav,banner,babble_16.wav,opstemt_reversed.wav,blomstre_reversed.wav,,,,,0,159,159,159,,,z,0.25980016599351075,Miss,0.962931143665439,johan_new,001,2025-11-16_23-36-49,
present,0.4,kysse_compressed.wav,kysse,babble_33.wav,bifald_reversed.wav,utro_reversed.wav,,,,,0,160,160,160,,,m,0.2517701249962556,Hit,0.7744206753868232,johan_new,001,2025-11-16_23-36-49,
present,0.1,trofæ_compressed.wav,trofæ,babble_6.wav,dæmpet_reversed.wav,krise_reversed.wav,,,,,0,161,161,161,,,z,0.33074191700143274,Miss,1.2658629447934833,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_3.wav,enhed_reversed.wav,hånlig_reversed.wav,,,,,0,162,162,162,,,z,0.3414786670036847,Correct Rejection,0.9366641039426523,johan_new,001,2025-11-16_23-36-49,
absent,0.4,SILENCE,NA,babble_47.wav,spise_reversed.wav,frygtsom_reversed.wav,,,,,0,163,163,163,,,z,0.3437859159967047,Correct Rejection,1.444335988542249,johan_new,001,2025-11-16_23-36-49,
present,0.1,magisk_compressed.wav,magisk,babble_39.wav,ørken_reversed.wav,himlen_reversed.wav,,,,,0,164,164,164,,,m,0.23392145899561,Hit,0.6200541784085805,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_8.wav,motor_reversed.wav,skammel_reversed.wav,,,,,0,165,165,165,,,z,1.0238186660062638,Correct Rejection,0.6197685911218389,johan_new,001,2025-11-16_23-36-49,
absent,0.4,SILENCE,NA,babble_12.wav,vandfald_reversed.wav,albue_reversed.wav,,,,,0,166,166,166,,,z,0.7199467919999734,Correct Rejection,1.1144882671171037,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_42.wav,nøgle_reversed.wav,dæmon_reversed.wav,,,,,0,167,167,167,,,z,0.7125221669994062,Correct Rejection,0.8031721730368887,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_18.wav,knude_reversed.wav,engel_reversed.wav,,,,,0,168,168,168,,,z,0.6019911249968573,Correct Rejection,1.3637965159869005,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_0.wav,rådden_reversed.wav,lærer_reversed.wav,,,,,0,169,169,169,,,z,0.6618264580029063,Correct Rejection,0.7459428580830926,johan_new,001,2025-11-16_23-36-49,
present,0.6,frihed_compressed.wav,frihed,babble_6.wav,smerte_reversed.wav,skuffe_reversed.wav,,,,,0,170,170,170,,,m,0.23816504200658528,Hit,0.5190333890390552,johan_new,001,2025-11-16_23-36-49,
present,0.5,utro_compressed.wav,utro,babble_48.wav,rædsel_reversed.wav,gade_reversed.wav,,,,,0,171,171,171,,,z,0.5568980839962023,Miss,0.8911896144922561,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_12.wav,vinde_reversed.wav,vindue_reversed.wav,,,,,0,172,172,172,,,z,1.84578799999872,Correct Rejection,1.1365673742185132,johan_new,001,2025-11-16_23-36-49,
present,0.3,tønde_compressed.wav,tønde,babble_45.wav,forkert_reversed.wav,festlig_reversed.wav,,,,,0,173,173,173,,,z,0.2588687919997028,Miss,1.1302266908666199,johan_new,001,2025-11-16_23-36-49,
present,0.2,salat_compressed.wav,salat,babble_6.wav,illoyal_reversed.wav,rådden_reversed.wav,,,,,0,174,174,174,,,m,0.2297920420023729,Hit,0.7591264958858518,johan_new,001,2025-11-16_23-36-49,
present,0.2,syndig_compressed.wav,syndig,babble_20.wav,fremskridt_reversed.wav,ønske_reversed.wav,,,,,0,175,175,175,,,z,1.1335961249933462,Miss,1.2079053275565215,johan_new,001,2025-11-16_23-36-49,
present,0.4,sandhed_compressed.wav,sandhed,babble_1.wav,motor_reversed.wav,modgang_reversed.wav,,,,,0,176,176,176,,,m,0.24014666699804366,Hit,0.6938033290349964,johan_new,001,2025-11-16_23-36-49,
present,0.6,ære_compressed.wav,ære,babble_5.wav,skade_reversed.wav,nonne_reversed.wav,,,,,0,177,177,177,,,z,1.299605000000156,Miss,1.077830591605496,johan_new,001,2025-11-16_23-36-49,
present,0.4,beskidt_compressed.wav,beskidt,babble_2.wav,frihed_reversed.wav,heldig_reversed.wav,,,,,0,178,178,178,,,m,0.31785220799793024,Hit,0.5595060472733676,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_20.wav,museum_reversed.wav,forfald_reversed.wav,,,,,0,179,179,179,,,z,0.7363284589955583,Correct Rejection,0.9445901757749006,johan_new,001,2025-11-16_23-36-49,
absent,0.4,SILENCE,NA,babble_45.wav,kæle_reversed.wav,statue_reversed.wav,,,,,0,180,180,180,,,z,0.5055493749969173,Correct Rejection,1.2171371083297902,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_22.wav,magisk_reversed.wav,spænding_reversed.wav,,,,,0,181,181,181,,,z,0.3771067920024507,Correct Rejection,1.2656401038607825,johan_new,001,2025-11-16_23-36-49,
absent,0.1,SILENCE,NA,babble_10.wav,stjerne_reversed.wav,nøgle_reversed.wav,,,,,0,182,182,182,,,z,0.4194218750053551,Correct Rejection,0.9079365165536487,johan_new,001,2025-11-16_23-36-49,
present,0.2,varme_compressed.wav,varme,babble_23.wav,himlen_reversed.wav,tilfreds_reversed.wav,,,,,0,183,183,183,,,m,0.23884954099776223,Hit,1.4357960476237925,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_34.wav,mester_reversed.wav,bange_reversed.wav,,,,,0,184,184,184,,,z,0.6089368750035646,Correct Rejection,0.5653406063223554,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_49.wav,nøgle_reversed.wav,latter_reversed.wav,,,,,0,185,185,185,,,z,0.898610500000359,Correct Rejection,0.6901395204491702,johan_new,001,2025-11-16_23-36-49,
present,0.7,putte_compressed.wav,putte,babble_12.wav,slave_reversed.wav,taber_reversed.wav,,,,,0,186,186,186,,,z,0.3780715829998371,Miss,0.6401194499671108,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_40.wav,gave_reversed.wav,sejre_reversed.wav,,,,,0,187,187,187,,,z,1.13324704200204,Correct Rejection,1.319935522074218,johan_new,001,2025-11-16_23-36-49,
absent,0.4,SILENCE,NA,babble_14.wav,frygtsom_reversed.wav,papir_reversed.wav,,,,,0,188,188,188,,,z,0.7473715000014636,Correct Rejection,1.184150197370632,johan_new,001,2025-11-16_23-36-49,
present,0.6,bifald_compressed.wav,bifald,babble_45.wav,hage_reversed.wav,skyldig_reversed.wav,,,,,0,189,189,189,,,m,0.5802550000007614,Hit,1.152594300407717,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_43.wav,pervers_reversed.wav,motor_reversed.wav,,,,,0,190,190,190,,,z,1.4338551249966258,Correct Rejection,0.9978817638676105,johan_new,001,2025-11-16_23-36-49,
present,0.2,ankel_compressed.wav,ankel,babble_26.wav,redning_reversed.wav,bange_reversed.wav,,,,,0,191,191,191,,,m,0.4130860829973244,Hit,1.119409814873657,johan_new,001,2025-11-16_23-36-49,
present,0.2,tortur_compressed.wav,tortur,babble_11.wav,statue_reversed.wav,dollar_reversed.wav,,,,,0,192,192,192,,,m,0.5050467920009396,Hit,1.0076923570279726,johan_new,001,2025-11-16_23-36-49,
present,0.7,slagtning_compressed.wav,slagtning,babble_48.wav,redskab_reversed.wav,redskab_reversed.wav,,,,,0,193,193,193,,,z,3.9007227920010337,Miss,1.2035979133811918,johan_new,001,2025-11-16_23-36-49,
present,0.5,frihed_compressed.wav,frihed,babble_6.wav,kærtegn_reversed.wav,fiasko_reversed.wav,,,,,0,194,194,194,,,m,0.44172887499735225,Hit,0.5964869188927605,johan_new,001,2025-11-16_23-36-49,
present,0.5,regnbue_compressed.wav,regnbue,babble_39.wav,kujon_reversed.wav,krise_reversed.wav,,,,,0,195,195,195,,,m,0.5738396250017104,Hit,1.1960335379566822,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_43.wav,metal_reversed.wav,giftig_reversed.wav,,,,,0,196,196,196,,,z,1.433993749997171,Correct Rejection,1.3016979913412203,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_7.wav,hader_reversed.wav,finger_reversed.wav,,,,,0,197,197,197,,,z,0.6826142500067363,Correct Rejection,1.0062759637027257,johan_new,001,2025-11-16_23-36-49,
present,0.4,voldsom_compressed.wav,voldsom,babble_48.wav,viden_reversed.wav,vinde_reversed.wav,,,,,0,198,198,198,,,m,0.2569383329973789,Hit,1.404533660156078,johan_new,001,2025-11-16_23-36-49,
present,0.4,forår_compressed.wav,forår,babble_45.wav,humor_reversed.wav,bygning_reversed.wav,,,,,0,199,199,199,,,m,0.4084797500036075,Hit,1.1340790215323469,johan_new,001,2025-11-16_23-36-49,
