trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
56,poesi_compressed.wav,neutral,poesi,hage,babble_81.wav,redning_reversed.wav,hånlig_reversed.wav,,,,,0,32,32,32,right,0.877722978591919,right,1,hage,poesi,50701,1,2025-11-28_11-41-58
6,pervers_compressed.wav,negative,pervers,heldig,babble_96.wav,tumor_reversed.wav,passion_reversed.wav,,,,,0,33,33,33,left,1.485840082168579,left,1,pervers,heldig,50701,1,2025-11-28_11-41-58
32,grimme_compressed.wav,negative,grimme,spise,babble_37.wav,glæde_reversed.wav,lyse_reversed.wav,,,,,0,34,34,34,left,1.4293930530548096,right,0,spise,grimme,50701,1,2025-11-28_11-41-58
62,kærtegn_compressed.wav,positive,kærtegn,taber,babble_51.wav,kontor_reversed.wav,himmel_reversed.wav,,,,,0,35,35,35,left,1.059554100036621,left,1,kærtegn,taber,50701,1,2025-11-28_11-41-58
17,kvæles_compressed.wav,negative,kvæles,knude,babble_24.wav,magisk_reversed.wav,taxa_reversed.wav,,,,,0,36,36,36,left,1.933670997619629,left,1,kvæles,knude,50701,1,2025-11-28_11-41-58
31,fjendtlig_compressed.wav,negative,fjendtlig,violin,babble_14.wav,offer_reversed.wav,motor_reversed.wav,,,,,0,37,37,37,right,2.094435930252075,right,1,violin,fjendtlig,50701,1,2025-11-28_11-41-58
20,statue_compressed.wav,neutral,statue,minder,babble_36.wav,forfald_reversed.wav,søsyg_reversed.wav,,,,,0,38,38,38,left,0.6349799633026123,left,1,statue,minder,50701,1,2025-11-28_11-41-58
10,humor_compressed.wav,positive,humor,vinde,babble_15.wav,talent_reversed.wav,nøgle_reversed.wav,,,,,0,39,39,39,right,0.4621820449829101,right,1,vinde,humor,50701,1,2025-11-28_11-41-58
89,gratis_compressed.wav,positive,gratis,dæmpet,babble_98.wav,ketchup_reversed.wav,spise_reversed.wav,,,,,0,40,40,40,right,1.4077398777008057,right,1,dæmpet,gratis,50701,1,2025-11-28_11-41-58
55,bifald_compressed.wav,positive,bifald,vandal,babble_68.wav,gaffel_reversed.wav,diamant_reversed.wav,,,,,0,41,41,41,left,1.827739953994751,left,1,bifald,vandal,50701,1,2025-11-28_11-41-58
9,kage_compressed.wav,positive,kage,enhed,babble_0.wav,hjerte_reversed.wav,traume_reversed.wav,,,,,0,42,42,42,right,1.1166257858276367,right,1,enhed,kage,50701,1,2025-11-28_11-41-58
