trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
16,AM19HAS.JPG,luder_compressed.wav,negative,babble_16.wav,bombe_reversed.wav,boble_reversed.wav,,,,,0,100,100,100,6,0.5804259777069092,1234,001,2025-11-28_15-21-14,
124,AF10ANS.JPG,SILENCE,no-prime,babble_22.wav,gidsel_reversed.wav,ensom_reversed.wav,,,,,0,101,101,101,2,0.2048201560974121,1234,001,2025-11-28_15-21-14,
74,AM06ANS.JPG,SILENCE,no-prime,babble_90.wav,gaffel_reversed.wav,albue_reversed.wav,,,,,0,102,102,102,3,0.49608683586120605,1234,001,2025-11-28_15-21-14,
35,AF23HAS.JPG,modgang_compressed.wav,negative,babble_86.wav,statue_reversed.wav,hånlig_reversed.wav,,,,,0,103,103,103,7,0.3122520446777344,1234,001,2025-11-28_15-21-14,
116,AM24NES.JPG,gaffel_compressed.wav,neutral,babble_0.wav,magisk_reversed.wav,kedel_reversed.wav,,,,,0,104,104,104,4,1.2804369926452637,1234,001,2025-11-28_15-21-14,
171,AF16HAS.JPG,SILENCE,no-prime,babble_89.wav,gaffel_reversed.wav,motor_reversed.wav,,,,,0,105,105,105,6,0.9577929973602295,1234,001,2025-11-28_15-21-14,
190,AF14HAS.JPG,brænde_compressed.wav,negative,babble_80.wav,papir_reversed.wav,natur_reversed.wav,,,,,0,106,106,106,6,73.84904217720032,1234,001,2025-11-28_15-21-14,
81,AM18ANS.JPG,grimme_compressed.wav,negative,babble_4.wav,giftig_reversed.wav,kage_reversed.wav,,,,,0,107,107,107,2,0.7034718990325928,1234,001,2025-11-28_15-21-14,
112,AF06NES.JPG,blomstre_compressed.wav,positive,babble_71.wav,syndig_reversed.wav,utro_reversed.wav,,,,,0,108,108,108,5,0.49784302711486816,1234,001,2025-11-28_15-21-14,
188,AM21HAS.JPG,slave_compressed.wav,negative,babble_36.wav,kæle_reversed.wav,sindssyg_reversed.wav,,,,,0,109,109,109,6,0.901602029800415,1234,001,2025-11-28_15-21-14,
79,AF17NES.JPG,taber_compressed.wav,negative,babble_13.wav,voldtægt_reversed.wav,himlen_reversed.wav,,,,,0,110,110,110,5,0.09339618682861328,1234,001,2025-11-28_15-21-14,
43,AF26HAS.JPG,utro_compressed.wav,negative,babble_50.wav,konge_reversed.wav,banner_reversed.wav,,,,,0,111,111,111,6,0.5095160007476807,1234,001,2025-11-28_15-21-14,
185,AF05ANS.JPG,grimme_compressed.wav,negative,babble_67.wav,salat_reversed.wav,vinde_reversed.wav,,,,,0,112,112,112,3,0.809222936630249,1234,001,2025-11-28_15-21-14,
122,AM29NES.JPG,redskab_compressed.wav,neutral,babble_88.wav,fjendtlig_reversed.wav,rigdom_reversed.wav,,,,,0,113,113,113,5,1.1334559917449951,1234,001,2025-11-28_15-21-14,
165,AF28HAS.JPG,sikker_compressed.wav,positive,babble_76.wav,kiste_reversed.wav,banner_reversed.wav,,,,,0,114,114,114,6,1.4332330226898193,1234,001,2025-11-28_15-21-14,
106,AF05NES.JPG,SILENCE,no-prime,babble_59.wav,syndig_reversed.wav,vindue_reversed.wav,,,,,0,115,115,115,5,1.2260589599609375,1234,001,2025-11-28_15-21-14,
34,AF27HAS.JPG,utro_compressed.wav,negative,babble_70.wav,syndig_reversed.wav,dæmpet_reversed.wav,,,,,0,116,116,116,6,1.3967969417572021,1234,001,2025-11-28_15-21-14,
14,AF10NES.JPG,kvæles_compressed.wav,negative,babble_40.wav,søsyg_reversed.wav,poesi_reversed.wav,,,,,0,117,117,117,5,1.0821950435638428,1234,001,2025-11-28_15-21-14,
152,AM32NES.JPG,SILENCE,no-prime,babble_11.wav,vinde_reversed.wav,maling_reversed.wav,,,,,0,118,118,118,5,3.9027271270751953,1234,001,2025-11-28_15-21-14,
39,AM04NES.JPG,luder_compressed.wav,negative,babble_89.wav,mave_reversed.wav,patent_reversed.wav,,,,,0,119,119,119,5,1.9723331928253174,1234,001,2025-11-28_15-21-14,
50,AF04HAS.JPG,avis_compressed.wav,neutral,babble_83.wav,ønske_reversed.wav,smerte_reversed.wav,,,,,0,120,120,120,7,2.7101879119873047,1234,001,2025-11-28_15-21-14,
64,AF13HAS.JPG,rotte_compressed.wav,negative,babble_87.wav,voldtægt_reversed.wav,dæmon_reversed.wav,,,,,0,121,121,121,7,0.7912228107452393,1234,001,2025-11-28_15-21-14,
117,AM10ANS.JPG,SILENCE,no-prime,babble_84.wav,venlig_reversed.wav,ferie_reversed.wav,,,,,0,122,122,122,2,0.6056909561157227,1234,001,2025-11-28_15-21-14,
90,AF12ANS.JPG,SILENCE,no-prime,babble_35.wav,taber_reversed.wav,diamant_reversed.wav,,,,,0,123,123,123,4,1.105931043624878,1234,001,2025-11-28_15-21-14,
147,AF34HAS.JPG,taber_compressed.wav,negative,babble_73.wav,mave_reversed.wav,diamant_reversed.wav,,,,,0,124,124,124,7,0.7828679084777832,1234,001,2025-11-28_15-21-14,
154,AM12NES.JPG,brutal_compressed.wav,negative,babble_29.wav,finger_reversed.wav,talent_reversed.wav,,,,,0,125,125,125,5,1.2341639995574951,1234,001,2025-11-28_15-21-14,
59,AM25NES.JPG,dollar_compressed.wav,positive,babble_27.wav,skammel_reversed.wav,rabies_reversed.wav,,,,,0,126,126,126,6,0.7397398948669434,1234,001,2025-11-28_15-21-14,
69,AF21HAS.JPG,SILENCE,no-prime,babble_8.wav,passion_reversed.wav,djævel_reversed.wav,,,,,0,127,127,127,8,0.7280218601226807,1234,001,2025-11-28_15-21-14,
128,AF31ANS.JPG,giftig_compressed.wav,negative,babble_83.wav,plakat_reversed.wav,rædsel_reversed.wav,,,,,0,128,128,128,2,0.6989238262176514,1234,001,2025-11-28_15-21-14,
36,AF21NES.JPG,konkurs_compressed.wav,negative,babble_78.wav,festlig_reversed.wav,boble_reversed.wav,,,,,0,129,129,129,5,0.7072300910949707,1234,001,2025-11-28_15-21-14,
15,AM19ANS.JPG,kontor_compressed.wav,neutral,babble_32.wav,ønske_reversed.wav,hjerte_reversed.wav,,,,,0,130,130,130,2,1.9015510082244873,1234,001,2025-11-28_15-21-14,
