signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,trial_outcome,signal_type,compression_level,correct_word,prime_file,babble_duration,Participant ID,Session,date,
absent,0.7,SILENCE,NA,babble_1.wav,rådden_reversed.wav,sæde_reversed.wav,,,,,0,50,50,50,z,1.0744309425354004,Correct Rejection,absent,0.7,NA,SILENCE,0.8491335798478884,0810,001,2025-11-26_20-29-23,
absent,0.7,SILENCE,NA,babble_67.wav,gratis_reversed.wav,bygning_reversed.wav,,,,,0,51,51,51,z,2.186723232269287,Correct Rejection,absent,0.7,NA,SILENCE,0.9711963616953251,0810,001,2025-11-26_20-29-23,
present,0.1,sejre_compressed.wav,sejre,babble_74.wav,banner_reversed.wav,kærtegn_reversed.wav,,,,,0,52,52,52,z,2.133094549179077,Miss,present,0.1,sejre,sejre_compressed.wav,1.0134633344849266,0810,001,2025-11-26_20-29-23,
absent,0.7,SILENCE,NA,babble_95.wav,metal_reversed.wav,plakat_reversed.wav,,,,,0,53,53,53,z,1.6987311840057373,Correct Rejection,absent,0.7,NA,SILENCE,0.5231087783002093,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_74.wav,museum_reversed.wav,borddug_reversed.wav,,,,,0,54,54,54,m,0.5391793251037598,False Alarm,absent,0.2,NA,SILENCE,1.079912759111259,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_9.wav,ensom_reversed.wav,gaffel_reversed.wav,,,,,0,55,55,55,z,0.6267135143280029,Correct Rejection,absent,0.4,NA,SILENCE,1.3472800777386706,0810,001,2025-11-26_20-29-23,
present,0.7,diamant_compressed.wav,diamant,babble_84.wav,brænde_reversed.wav,latter_reversed.wav,,,,,0,56,56,56,m,1.363391399383545,Hit,present,0.7,diamant,diamant_compressed.wav,1.1701704757757598,0810,001,2025-11-26_20-29-23,
absent,0.7,SILENCE,NA,babble_22.wav,konge_reversed.wav,skønhed_reversed.wav,,,,,0,57,57,57,z,0.8680005073547363,Correct Rejection,absent,0.7,NA,SILENCE,1.3344727383803303,0810,001,2025-11-26_20-29-23,
present,0.1,bange_compressed.wav,bange,babble_75.wav,pervers_reversed.wav,kujon_reversed.wav,,,,,0,58,58,58,z,0.8447840213775635,Miss,present,0.1,bange,bange_compressed.wav,0.7501003871303953,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_72.wav,luksus_reversed.wav,heldig_reversed.wav,,,,,0,59,59,59,z,1.5033783912658691,Correct Rejection,absent,0.1,NA,SILENCE,0.7862207982935345,0810,001,2025-11-26_20-29-23,
present,0.3,misbrug_compressed.wav,misbrug,babble_36.wav,traume_reversed.wav,glæde_reversed.wav,,,,,0,60,60,60,z,1.1909782886505127,Miss,present,0.3,misbrug,misbrug_compressed.wav,1.2188341552834179,0810,001,2025-11-26_20-29-23,
present,0.2,kage_compressed.wav,kage,babble_69.wav,rigdom_reversed.wav,frihed_reversed.wav,,,,,0,61,61,61,m,0.438906192779541,Hit,present,0.2,kage,kage_compressed.wav,0.6050797731560861,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_35.wav,måned_reversed.wav,spise_reversed.wav,,,,,0,62,62,62,z,0.45143938064575195,Correct Rejection,absent,0.2,NA,SILENCE,1.0855226140357468,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_37.wav,salat_reversed.wav,rotte_reversed.wav,,,,,0,63,63,63,z,0.5813889503479004,Correct Rejection,absent,0.2,NA,SILENCE,0.6886298258882445,0810,001,2025-11-26_20-29-23,
present,0.5,kysse_compressed.wav,kysse,babble_86.wav,trofæ_reversed.wav,drukne_reversed.wav,,,,,0,64,64,64,m,0.4720194339752197,Hit,present,0.5,kysse,kysse_compressed.wav,0.9008713571577667,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_19.wav,spise_reversed.wav,ensom_reversed.wav,,,,,0,65,65,65,z,0.7118721008300781,Correct Rejection,absent,0.4,NA,SILENCE,0.991070588485033,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_33.wav,rabies_reversed.wav,brutal_reversed.wav,,,,,0,66,66,66,z,0.6005814075469971,Correct Rejection,absent,0.1,NA,SILENCE,0.686061706391627,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_42.wav,sandhed_reversed.wav,vandal_reversed.wav,,,,,0,67,67,67,z,1.852787971496582,Correct Rejection,absent,0.6,NA,SILENCE,1.2750557477018198,0810,001,2025-11-26_20-29-23,
present,0.3,kande_compressed.wav,kande,babble_74.wav,fedme_reversed.wav,skammel_reversed.wav,,,,,0,68,68,68,m,0.8386344909667969,Hit,present,0.3,kande,kande_compressed.wav,0.7958418186772664,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_95.wav,drukne_reversed.wav,fjendtlig_reversed.wav,,,,,0,69,69,69,m,0.4909822940826416,False Alarm,absent,0.4,NA,SILENCE,1.4231468840187818,0810,001,2025-11-26_20-29-23,
present,0.6,minder_compressed.wav,minder,babble_71.wav,gidsel_reversed.wav,rigdom_reversed.wav,,,,,0,70,70,70,z,0.5488681793212891,Miss,present,0.6,minder,minder_compressed.wav,0.5508267886416606,0810,001,2025-11-26_20-29-23,
present,0.4,kugle_compressed.wav,kugle,babble_90.wav,redning_reversed.wav,diamant_reversed.wav,,,,,0,71,71,71,z,0.5263736248016357,Miss,present,0.4,kugle,kugle_compressed.wav,0.5271177212830409,0810,001,2025-11-26_20-29-23,
present,0.7,bombe_compressed.wav,bombe,babble_4.wav,sygdom_reversed.wav,accept_reversed.wav,,,,,0,72,72,72,z,0.43529391288757324,Miss,present,0.7,bombe,bombe_compressed.wav,0.6050188082388647,0810,001,2025-11-26_20-29-23,
present,0.7,afvist_compressed.wav,afvist,babble_6.wav,enhed_reversed.wav,røver_reversed.wav,,,,,0,73,73,73,m,0.41152286529541016,Hit,present,0.7,afvist,afvist_compressed.wav,0.9998823513128942,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_27.wav,kæle_reversed.wav,banner_reversed.wav,,,,,0,74,74,74,z,0.8711106777191162,Correct Rejection,absent,0.6,NA,SILENCE,0.6545515483576412,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_73.wav,opstemt_reversed.wav,lampe_reversed.wav,,,,,0,75,75,75,z,1.1126816272735596,Correct Rejection,absent,0.3,NA,SILENCE,1.427984070061441,0810,001,2025-11-26_20-29-23,
present,0.6,viden_compressed.wav,viden,babble_65.wav,rådden_reversed.wav,engel_reversed.wav,,,,,0,76,76,76,z,0.8535540103912354,Miss,present,0.6,viden,viden_compressed.wav,1.320582759164537,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_74.wav,trussel_reversed.wav,albue_reversed.wav,,,,,0,77,77,77,z,1.0447711944580078,Correct Rejection,absent,0.5,NA,SILENCE,0.6601583070114756,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_91.wav,pervers_reversed.wav,dæmon_reversed.wav,,,,,0,78,78,78,z,0.73537278175354,Correct Rejection,absent,0.6,NA,SILENCE,0.6688626084871915,0810,001,2025-11-26_20-29-23,
absent,0.7,SILENCE,NA,babble_38.wav,gidsel_reversed.wav,pude_reversed.wav,,,,,0,79,79,79,z,0.7433450222015381,Correct Rejection,absent,0.7,NA,SILENCE,1.071769883276252,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_67.wav,vinde_reversed.wav,gade_reversed.wav,,,,,0,80,80,80,z,0.5237081050872803,Correct Rejection,absent,0.1,NA,SILENCE,1.4921411879000681,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_64.wav,bifald_reversed.wav,fremskridt_reversed.wav,,,,,0,81,81,81,z,1.4420890808105469,Correct Rejection,absent,0.1,NA,SILENCE,0.9624661069125124,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_43.wav,magisk_reversed.wav,talent_reversed.wav,,,,,0,82,82,82,z,0.9701926708221436,Correct Rejection,absent,0.3,NA,SILENCE,0.9932595222280053,0810,001,2025-11-26_20-29-23,
present,0.5,bombe_compressed.wav,bombe,babble_60.wav,morder_reversed.wav,passion_reversed.wav,,,,,0,83,83,83,m,0.6493279933929443,Hit,present,0.5,bombe,bombe_compressed.wav,1.1539703904959424,0810,001,2025-11-26_20-29-23,
present,0.2,plakat_compressed.wav,plakat,babble_55.wav,rotte_reversed.wav,sindssyg_reversed.wav,,,,,0,84,84,84,m,0.45446348190307617,Hit,present,0.2,plakat,plakat_compressed.wav,1.4821294273189056,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_1.wav,albue_reversed.wav,natur_reversed.wav,,,,,0,85,85,85,z,0.6315915584564209,Correct Rejection,absent,0.6,NA,SILENCE,1.0601822514159163,0810,001,2025-11-26_20-29-23,
present,0.3,baby_compressed.wav,baby,babble_93.wav,tumor_reversed.wav,bygning_reversed.wav,,,,,0,86,86,86,z,0.4867234230041504,Miss,present,0.3,baby,baby_compressed.wav,1.0342649463175297,0810,001,2025-11-26_20-29-23,
present,0.6,kande_compressed.wav,kande,babble_64.wav,vindue_reversed.wav,djævel_reversed.wav,,,,,0,87,87,87,m,0.327573299407959,Hit,present,0.6,kande,kande_compressed.wav,0.5681822025388675,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_5.wav,poesi_reversed.wav,violin_reversed.wav,,,,,0,88,88,88,z,0.8272073268890381,Correct Rejection,absent,0.3,NA,SILENCE,0.5718582824771645,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_69.wav,voldtægt_reversed.wav,genstand_reversed.wav,,,,,0,89,89,89,z,0.46195387840270996,Correct Rejection,absent,0.5,NA,SILENCE,0.5958189745832686,0810,001,2025-11-26_20-29-23,
present,0.4,ferie_compressed.wav,ferie,babble_40.wav,sejre_reversed.wav,dæmon_reversed.wav,,,,,0,90,90,90,z,0.5026209354400635,Miss,present,0.4,ferie,ferie_compressed.wav,0.5946187739515142,0810,001,2025-11-26_20-29-23,
present,0.3,sindssyg_compressed.wav,sindssyg,babble_35.wav,kedel_reversed.wav,nonne_reversed.wav,,,,,0,91,91,91,m,0.2925891876220703,Hit,present,0.3,sindssyg,sindssyg_compressed.wav,1.1562112495111214,0810,001,2025-11-26_20-29-23,
present,0.4,leder_compressed.wav,leder,babble_0.wav,forfald_reversed.wav,magisk_reversed.wav,,,,,0,92,92,92,z,0.49259185791015625,Miss,present,0.4,leder,leder_compressed.wav,1.137637413257691,0810,001,2025-11-26_20-29-23,
present,0.6,utro_compressed.wav,utro,babble_16.wav,sikker_reversed.wav,ketchup_reversed.wav,,,,,0,93,93,93,m,2.2730391025543213,Hit,present,0.6,utro,utro_compressed.wav,1.1013708068601904,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_73.wav,hader_reversed.wav,forpint_reversed.wav,,,,,0,94,94,94,z,0.4784238338470459,Correct Rejection,absent,0.4,NA,SILENCE,1.1562903401725086,0810,001,2025-11-26_20-29-23,
