signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.4,SILENCE,NA,babble_19.wav,syndig_reversed.wav,gade_reversed.wav,,,,,0,103,103,103,,,m,0.501822042017011,False Alarm,1.0179243126834852,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_88.wav,hånlig_reversed.wav,skuffe_reversed.wav,,,,,0,104,104,104,,,z,0.5535175840195734,Correct Rejection,0.6015147332723145,99999,001,2025-11-20_13-11-42,
present,0.5,kage_compressed.wav,kage,babble_50.wav,traume_reversed.wav,nonne_reversed.wav,,,,,0,105,105,105,,,z,0.5634453749808017,Miss,1.1527939914551852,99999,001,2025-11-20_13-11-42,
present,0.3,violin_compressed.wav,violin,babble_53.wav,fængsel_reversed.wav,oprør_reversed.wav,,,,,0,106,106,106,,,m,0.25763429200742394,Hit,0.9378513515143592,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_41.wav,statue_reversed.wav,genert_reversed.wav,,,,,0,107,107,107,,,z,1.131940166989807,Correct Rejection,0.9773784337353087,99999,001,2025-11-20_13-11-42,
present,0.3,magisk_compressed.wav,magisk,babble_79.wav,ketchup_reversed.wav,pervers_reversed.wav,,,,,0,108,108,108,,,z,0.5678910840069875,Miss,0.6978900527826591,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_19.wav,oprørt_reversed.wav,avis_reversed.wav,,,,,0,109,109,109,,,z,0.4251456659985706,Correct Rejection,1.238475261211157,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_13.wav,trofæ_reversed.wav,dæmpet_reversed.wav,,,,,0,110,110,110,,,z,0.38913012499688193,Correct Rejection,0.571994268136844,99999,001,2025-11-20_13-11-42,
present,0.5,ugle_compressed.wav,ugle,babble_42.wav,kæle_reversed.wav,dæmpet_reversed.wav,,,,,0,111,111,111,,,m,0.6563090409908909,Hit,1.3173912793277187,99999,001,2025-11-20_13-11-42,
absent,0.2,SILENCE,NA,babble_69.wav,ensom_reversed.wav,sandhed_reversed.wav,,,,,0,112,112,112,,,m,0.8012560000061058,False Alarm,0.8791832596746189,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_97.wav,koldbrand_reversed.wav,fase_reversed.wav,,,,,0,113,113,113,,,z,0.3991639999730978,Correct Rejection,1.0835083046440643,99999,001,2025-11-20_13-11-42,
present,0.2,kage_compressed.wav,kage,babble_77.wav,redning_reversed.wav,forfald_reversed.wav,,,,,0,114,114,114,,,m,0.29823891702108085,Hit,0.9088036975161178,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_82.wav,blomstre_reversed.wav,sandhed_reversed.wav,,,,,0,115,115,115,,,z,0.7552308340091258,Correct Rejection,0.624407290494181,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_27.wav,varme_reversed.wav,affald_reversed.wav,,,,,0,116,116,116,,,z,0.6598382500233129,Correct Rejection,1.3989421231295003,99999,001,2025-11-20_13-11-42,
present,0.5,varme_compressed.wav,varme,babble_83.wav,offer_reversed.wav,varme_reversed.wav,,,,,0,117,117,117,,,m,0.33604170801118016,Hit,1.459477126733307,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_45.wav,ledning_reversed.wav,sæde_reversed.wav,,,,,0,118,118,118,,,z,0.4152442920021713,Correct Rejection,1.1243251052537984,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_36.wav,humor_reversed.wav,passion_reversed.wav,,,,,0,119,119,119,,,z,0.494533874996705,Correct Rejection,1.1292851837339617,99999,001,2025-11-20_13-11-42,
present,0.6,luksus_compressed.wav,luksus,babble_5.wav,violin_reversed.wav,voldtægt_reversed.wav,,,,,0,120,120,120,,,z,1.0917284589959309,Miss,1.3870622916427178,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_30.wav,nøgle_reversed.wav,gidsel_reversed.wav,,,,,0,121,121,121,,,z,1.2145333749940619,Correct Rejection,1.1231804374474714,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_74.wav,viden_reversed.wav,fængsel_reversed.wav,,,,,0,122,122,122,,,z,0.6103227499988861,Correct Rejection,0.980730926040878,99999,001,2025-11-20_13-11-42,
present,0.4,genert_compressed.wav,genert,babble_74.wav,ankel_reversed.wav,bygning_reversed.wav,,,,,0,123,123,123,,,m,0.2210735830012709,Hit,1.4558024675231964,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_29.wav,kærtegn_reversed.wav,glæde_reversed.wav,,,,,0,124,124,124,,,z,0.34392616600962356,Correct Rejection,1.3512707599085747,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_65.wav,rotte_reversed.wav,knude_reversed.wav,,,,,0,125,125,125,,,z,0.3794755420240108,Correct Rejection,1.1865518139556661,99999,001,2025-11-20_13-11-42,
present,0.6,koldbrand_compressed.wav,koldbrand,babble_39.wav,djævel_reversed.wav,fedme_reversed.wav,,,,,0,126,126,126,,,z,0.6111408750002738,Miss,0.8448559444539194,99999,001,2025-11-20_13-11-42,
present,0.1,marked_compressed.wav,marked,babble_80.wav,lærer_reversed.wav,lyse_reversed.wav,,,,,0,127,127,127,,,z,0.7044518750044517,Miss,0.9445049286143385,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_28.wav,forpint_reversed.wav,stjerne_reversed.wav,,,,,0,128,128,128,,,m,0.7775387500005309,False Alarm,0.8520261292157736,99999,001,2025-11-20_13-11-42,
present,0.4,bombe_compressed.wav,bombe,babble_56.wav,forpint_reversed.wav,lækker_reversed.wav,,,,,0,129,129,129,,,z,0.640333583985921,Miss,1.442554911248473,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_73.wav,sikker_reversed.wav,fedme_reversed.wav,,,,,0,130,130,130,,,z,0.6632010409957729,Correct Rejection,0.6407760941774888,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_32.wav,latter_reversed.wav,marked_reversed.wav,,,,,0,131,131,131,,,z,0.43355754198273644,Correct Rejection,0.9843992194227226,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_64.wav,flirte_reversed.wav,fremskridt_reversed.wav,,,,,0,132,132,132,,,z,0.809686958004022,Correct Rejection,0.9359909074091534,99999,001,2025-11-20_13-11-42,
present,0.5,misbrug_compressed.wav,misbrug,babble_71.wav,lækker_reversed.wav,accept_reversed.wav,,,,,0,133,133,133,,,m,0.29539366700919345,Hit,1.2508567176293148,99999,001,2025-11-20_13-11-42,
present,0.3,accept_compressed.wav,accept,babble_7.wav,frihed_reversed.wav,kugle_reversed.wav,,,,,0,134,134,134,,,m,0.722793583991006,Hit,0.9052778082392653,99999,001,2025-11-20_13-11-42,
present,0.2,lyse_compressed.wav,lyse,babble_80.wav,sygdom_reversed.wav,venlig_reversed.wav,,,,,0,135,135,135,,,m,0.6286025840090588,Hit,0.8611784391489444,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_84.wav,kiste_reversed.wav,papir_reversed.wav,,,,,0,136,136,136,,,z,0.44111829198664054,Correct Rejection,1.0879695519592405,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_82.wav,lampe_reversed.wav,frihed_reversed.wav,,,,,0,137,137,137,,,z,0.7989265829965007,Correct Rejection,1.0337564038151594,99999,001,2025-11-20_13-11-42,
present,0.3,intim_compressed.wav,intim,babble_21.wav,boble_reversed.wav,lyse_reversed.wav,,,,,0,138,138,138,,,m,0.30742804100736976,Hit,1.0421607580758359,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_52.wav,tilfreds_reversed.wav,nedbrud_reversed.wav,,,,,0,139,139,139,,,z,0.4112131660222076,Correct Rejection,1.4422465613343545,99999,001,2025-11-20_13-11-42,
absent,0.1,SILENCE,NA,babble_14.wav,cirkel_reversed.wav,violin_reversed.wav,,,,,0,140,140,140,,,z,0.7500192919978872,Correct Rejection,0.9934525789568109,99999,001,2025-11-20_13-11-42,
present,0.4,violin_compressed.wav,violin,babble_52.wav,humor_reversed.wav,konge_reversed.wav,,,,,0,141,141,141,,,z,0.7330328329990152,Miss,0.87604220457229,99999,001,2025-11-20_13-11-42,
absent,0.7,SILENCE,NA,babble_21.wav,plakat_reversed.wav,spænding_reversed.wav,,,,,0,142,142,142,,,z,0.34170679200906307,Correct Rejection,1.3917087074344159,99999,001,2025-11-20_13-11-42,
